title,link,user_name,date,description,category
Nhìn lại thị phần các hãng điện thoại sau 30 năm thay đổi như thế nào,https://quantrimang.com/video/thi-truong-dien-thoai-sau-30-nam-191015,PP,06/07,Video dựa trên dữ liệu được tổng hợp từ tháng 12 năm 1992 đến tháng 12 năm 2021.,Công nghệ
Xem quy trình sản xuất máy tính xách tay tỉ mỉ và phức tạp như thế nào,https://quantrimang.com/video/quy-trinh-san-xuat-may-tinh-xach-tay-190921,PP,28/06,Video trên ghi lại quy trình lắp ráp tỉ mỉ và chính xác máy tính xách tay (Laptop) bằng cả máy móc và thợ thủ công.,Công nghệ
Xem đội quân drone tự động luồn lách qua rừng tre như trong phim,https://quantrimang.com/video/doi-quan-drone-tu-dong-luon-lach-qua-rung-tre-189880,PP,16/05,"Đại học Chiết Giang, Trung Quốc đã thực hiện một thử nghiệm cho đội quân gồm 10 drone tự động luồn lách ra rừng tre với tổng quãng đường 65m nhằm mục đích đánh giá khả năng vượt địa hình, thích nghi mới môi trường, tránh nguy cơ va chạm của thiết bị bay không người lái.",Công nghệ
Bên trong trung tâm dữ liệu của Amazon Web Services,https://quantrimang.com/video/ben-trong-trung-tam-du-lieu-cua-amazon-web-services-180937,PP,04/05,"Amazon Web Services là gã khổng lồ trong ngành điện toán đám mây. Khách hàng của hãng là các tổ chức doanh nghiệp trên khắp thế giới như Netflix, BMW, Disney, GE, Tinder, CIA.",Công nghệ
Video deepfake Tom Cruise khiến nhiều người hoang mang,https://quantrimang.com/video/video-deepfake-tom-cruise-179463,PP,04/03,Video giả tài tử Tom Cruise trên TikTok khiến nhiều người bất ngờ bởi từ khuôn mặt đến giọng nói và cử chỉ của người đàn ông trong video đều rất giống Tom Cruise thật.,Công nghệ
Video vệ sinh iPhone dưới kính hiển vi khiến nhiều người kinh hãi,https://quantrimang.com/video/video-ve-sinh-iphone-duoi-kinh-hien-vi-178006,PP,11/01,"Video ""Cách làm sạch iPhone chuyên nghiệp"" quay lại quy trình vệ sinh một chiếc iPhone dưới kính hiển vi do tài khoản YouTube Insider đăng từ ngày 5/12.",Công nghệ
Phục chế màu cho video 100 tuổi bằng AI,https://quantrimang.com/video/phuc-che-mau-cho-video-tram-tuoi-bang-tri-thong-minh-nhan-tao-172170,PP,02/06,"Video đen trắng ghi lại cảnh sinh hoạt của người dân Trung Quốc được một nhiếp ảnh gia người Canada ghi lại từ năm 1920 đã được phục chế màu bằng AI và máy học. Hệ thống máy học này do DGSpitzer, một nhà phát triển Trung Quốc nghiên cứu và phát triển.",Công nghệ
Cách tạo ra những hình ảnh ‘triệu like’ bằng công cụ đơn giản,https://quantrimang.com/video/cach-tao-ra-nhung-hinh-anh-trieu-like-bang-y-tuong-doc-dao-va-cong-cu-don-gian-167550,Có chắc yêu là đây,31/10,Chắc chắn bạn sẽ bất ngờ khi biết bí mật đằng sau những hình ảnh ‘triệu like’ của Jordi Koalitic.,Công nghệ
Robot bartender pha chế đồ uống như thế nào?,https://quantrimang.com/video/robot-bartender-pha-che-do-uong-nhu-the-nao-165958,Bá Điền,24/11,"Robot bartender có tên gọi Barsys 2.0 có thể tạo ra hàng ngàn loại đồ uống khác nhau, với độ chính xác cao, sử dụng rượu và các công cụ mixer chuyên dụng!",Công nghệ
[Video] CPU được tạo ra như thế nào?,https://quantrimang.com/video/video-cpu-duoc-tao-ra-nhu-the-nao-165286,Nguyễn Trang,15/07,"Qua video bạn sẽ hình dung rõ hơn quá trình sản xuất CPU, để tạo ra một con chip nhỏ xíu như vậy cần những công đoạn, nguyên liệu nào.",Công nghệ
