title,link,user_name,date,description,category
Bằng B1 lái xe gì?,https://quantrimang.com/o-to-xe-may/bang-b1-lai-xe-gi-191812,Nguyễn Trang,09/08,"Bằng B1 là một trong những bằng lái xe phổ biến ở nước ta, tương tự như bằng lái xe B2 vậy. Với những người đang ôn luyện đề thi B1 thì bạn cũng cần phải nắm rõ những thông tin về bằng B1 có thể lái được những xe gì và các thông tin về hồ sơ đăng ký bằng lái xe B1.",Giấy phép lái xe
Thi sát hạch lái xe B1 đề 2,https://quantrimang.com/o-to-xe-may/thi-sat-hach-lai-xe-b1-de-2-185344,Phạm Nam,20/10,"Đề thi sát hạch lái xe B1 đề 2 tiếp tục với những câu hỏi ôn thi lý thuyết về luật giao thông, biển báo giao thông và các tình huống tham gia trên đường.",Giấy phép lái xe
Thi sát hạch lái xe B1 đề 1,https://quantrimang.com/o-to-xe-may/thi-sat-hach-lai-xe-b1-de-1-185331,Nguyễn Trang,19/10,"Bộ đề thi sát hạch lái xe B1 dựa trên tài liệu 600 câu hỏi thi GPLX do Bộ GTVT ban hành, giúp người thi có thể ôn luyện các kiến thức về phần luật giao thông đường bộ trong phần thi lý thuyết.",Giấy phép lái xe
Bằng B2 lái xe gì?,https://quantrimang.com/o-to-xe-may/bang-b2-lai-xe-gi-179671,Nguyễn Trang,09/08,"Bằng B2 lái được xe gì là thông tin mà bất cứ ai khi đi thi bằng B2 cần phải biết. Hiện tại bằng B2 là bằng lái xe phổ biến và phổ thông ở nước ta, và nhiều người hiện tại cũng đang chuẩn bị ôn luyện thi bằng B2.",Giấy phép lái xe
"Giấy phép lái xe cấp mới có mã QR, CSGT có thể kiểm tra thông tin của lái xe trong nháy mắt",https://quantrimang.com/o-to-xe-may/giay-phep-lai-xe-moi-co-ma-qr-172456,PP,11/06,Bằng lái xe (hay giấy phép lái xe) cấp mới từ 1/6 có mã QR hai mặt để chống làm giả và hiển thị nhanh thông tin của lái xe. Điều này giúp lực lượng CSGT trên đường có thể để kiểm tra nhanh thông tin của lái xe qua smartphone.,Giấy phép lái xe
Cách cấp lại bằng lái xe ô tô bị mất online,https://quantrimang.com/o-to-xe-may/thu-tuc-lam-lai-bang-lai-xe-may-o-to-bi-mat-171879,PP,16/02,"Nếu bằng lái xe của bạn bị mất thì chúng ta có thể đăng ký cấp lại bằng lái xe ô tô bị mất hay bằng lái xe máy online ngay tại nhà, mà không phải ra trực tiếp cơ quan có nộp hồ sơ.",Giấy phép lái xe
Kỹ năng lái xe ô tô an toàn khi trời mưa,https://quantrimang.com/o-to-xe-may/ky-nang-lai-xe-o-to-an-toan-khi-troi-mua-170300,Quách Tỉnh,10/03,Lái xe như thế nào là an toàn trong những ngày mưa bão? Cần phải chuẩn bị những gì khi lưu thông xe trong điều kiện trơn trượt? Tìm hiểu qua bài viết sau!,Giấy phép lái xe
Điểm khác nhau giữa xe ô tô số sàn và số tự động là gì?,https://quantrimang.com/o-to-xe-may/diem-khac-nhau-giua-xe-o-to-so-san-va-so-tu-dong-la-gi-170064,Phạm Anh,02/03,Xe ô tô số sàn và số tự động có rất nhiều điểm khác biệt từ cấu tạo cho tới vận hành. Vậy điểm khác biệt giữa chúng là gì?,Giấy phép lái xe
Mẹo thi lý thuyết B2,https://quantrimang.com/o-to-xe-may/meo-thi-ly-thuyet-b2-169915,Phạm Anh,19/10,"Bộ đề thi lý thuyết ô tô B2 có một số mẹo học lý thuyết B2 để người học trả lời đúng các câu hỏi, đặc biệt là 100 câu hỏi điểm liệt.",Giấy phép lái xe
"Biển báo giao thông: Các loại biển báo cấm, biển chỉ dẫn, biển báo nguy hiểm, biển báo phụ, vạch kẻ đường",https://quantrimang.com/o-to-xe-may/cac-loai-bien-bao-giao-thong-ban-can-biet-169876,Phạm Anh,21/02,"Biển báo giao thông ở Việt Nam được chia thành biển báo cấm, biển báo nguy hiểm, biển báo hiệu lệnh, biển chỉ dẫn, biển báo phụ và vạch kẻ đường. Chúng tôi cũng đã cập nhật biển báo cấm rẽ và quay rđầu 2019 mới nhất.",Giấy phép lái xe
Thi thử bằng lái xe B2 đề 15,https://quantrimang.com/o-to-xe-may/thi-thu-bang-lai-xe-b2-de-15-169814,Tuấn Phong,19/02,Đề thi thử lái xe B2 số 15 giúp người học nắm chắc các kiến thức trước khi thi sát hạch lý thuyết lái xe B2.,Giấy phép lái xe
"Những câu thành ngữ về kinh nghiệm lái xe an toàn dễ hiểu, dễ nhớ các bác tài cần biết",https://quantrimang.com/o-to-xe-may/nhung-cau-thanh-ngu-ve-kinh-nghiem-lai-xe-169790,Nhật Linh,17/02,"Nhờ những câu thành ngữ dễ thuộc về lái xe an toàn được những bác tài lâu năm tổng hợp và đúc kết ra, chúng ta có thêm những kinh nghiệm cũng như cách xử lý tình huống khi tham gia giao thông.",Giấy phép lái xe
