title,link,user_name,date,description,category
"Thả quả cầu nung nóng tới 1000 độ C vào đá lạnh, kết cục sẽ khiến bạn bất ngờ!",https://quantrimang.com/khoa-hoc/tha-qua-cau-nung-nong-toi-1000-do-c-vao-da-lanh-182812,PP,09/07,"Điều gì xảy ra khi thả một quả cầu kim loại đã được nung nóng tới 1000 độ C vào đá lạnh? Để biết kết cục của cuộc ""đại chiến nhiệt độ"" này, kênh YouTube Fun đã thực hiện một thí nghiệm đặc biệt.",Khoa học vui
Sự thật ngã ngửa về nguồn gốc những thứ quen thuộc xung quanh chúng ta,https://quantrimang.com/khoa-hoc/nga-ngua-voi-su-that-ve-nguon-goc-nhung-thu-quen-thuoc-xung-quanh-chung-ta-179934,Hạnh,20/03,"Bạn có tin rằng Coca-cola ban đầu được sản xuất với mục đích giảm nghiện morphin, chữa đau đầu và giảm lo lắng không?",Khoa học vui
5 câu đố hình học rắc rối kiểm tra IQ,https://quantrimang.com/khoa-hoc/5-cau-do-hinh-hoc-rac-roi-kiem-tra-iq-175092,PP,12/09,"Dưới đây là 5 câu đố hình học rắc rối, mời các bạn tham gia giải đáp để kiểm tra khả năng tư duy của bản thân nhé.",Khoa học vui
5 câu đố hóc búa kiểm tra khả năng logic,https://quantrimang.com/khoa-hoc/5-cau-do-hoc-bua-kiem-tra-kha-nang-logic-175052,PP,10/09,Dưới đây là 5 câu đố hóc búa đòi hỏi bạn phải tư duy logic mới có thể tìm ra câu trả lời. Hãy cùng tham gia giải đố để thử thách bản thân và rèn luyện giúp cho bộ não hoạt động nhanh nhạy và chính xác nhé.,Khoa học vui
"Hera, máy bay lai xăng điện lớn nhất thế giới có khả năng sạc pin trên không",https://quantrimang.com/khoa-hoc/hera-may-bay-lai-xang-dien-lon-nhat-the-gioi-173705,PP,22/07,Hera - mẫu máy bay lai xăng điện lớn nhất thế giới do công ty Electric Aviation Group (EAG) đang phát triển có khả năng chở 70 hành khách và tầm hoạt động gần 1.500 km.,Khoa học vui
Cỗ máy này cần số lượt quay để hoàn thành một vòng nhiều hơn cả số nguyên tử trong vũ trụ,https://quantrimang.com/video/co-may-cua-bruin-170285,Cát Tường,09/03,"Nhà sáng chế Daniel de Bruin đã chế tạo một cỗ máy cực kỳ đặc biệt, để thực hiện một vòng quay đầy đủ nó cần khoảng thời gian dài hơn cả cuộc đời của một con người.",Khoa học vui
"Tại sao 1 phút có 60 giây, 1 giờ có 60 phút và 1 ngày có 24 giờ?",https://quantrimang.com/khoa-hoc/tai-sao-1-phut-co-60-giay-1-gio-co-60-phut-1-ngay-co-24-gio-169824,Cát Tường,18/02,"Nhờ các nền văn minh cổ đại đã xác định và giữ gìn các quy tắc phân chia thời gian, xã hội hiện đại mới có những quy luật 1 ngày có 24 giờ, 1 giờ có 60 phút và 1 phút có 60 giây.",Khoa học vui
"Top 3 ảo giác ấn tượng nhất năm 2019, sẽ khiến bạn mất niềm tin vào thực tại",https://quantrimang.com/khoa-hoc/top-3-ao-giac-an-tuong-nhat-nam-year-168550,Nhật Vượng,18/12,"Dưới đây là 3 ảo giác ấn tượng đã đoạt giải ""Ảo giác ấn tượng nhất năm 2019"" do hiệp hội Neural Correlate bình chọn, với tiêu chí làm lú lẫn não bộ con người nhất.",Khoa học vui
Ảo ảnh thị giác khiến ảnh đen trắng thành có màu này sẽ khiến bạn hoang mang,https://quantrimang.com/khoa-hoc/ao-anh-thi-giac-khien-anh-den-trang-thanh-co-mau-nay-se-khien-ban-hoang-mang-165710,Quách Tỉnh,02/08,"Trong thời gian gần đây, cộng đồng mạng đang “phát sốt” về một loại ảo ảnh thị giác mới có thể khiến ảnh đen trắng biến thành có màu.",Khoa học vui
Những vật thể đơn giản nhưng có thể tạo ra ảo giác quang học khiến người xem bối rối,https://quantrimang.com/khoa-hoc/nhung-vat-the-don-gian-nhung-co-the-tao-ra-ao-giac-quang-hoc-khien-nguoi-xem-boi-roi-164696,Nga Bùi,24/06,Giáo sư Kokichi Sugihara đến từ Đại học Meiji đã sáng tạo ra những vật thể lạ trông hoàn toàn khác biệt khi nhìn qua gương.,Khoa học vui
Những bảng tuần hoàn có những hình dạng quái lạ nhất thế giới không phải ai cũng biết,https://quantrimang.com/khoa-hoc/nhung-bang-tuan-hoan-co-nhung-hinh-dang-quai-la-nhat-the-gioi-khong-phai-ai-cung-biet-163674,Nhật Linh,13/05,Có rất nhiều nhà khoa học đã cố gắng sắp xếp các nguyên tố hóa học thành bảng hợp lý. Những nỗ lực đó đã tạo ra những bảng tuần hoàn có những hình dạng quái lạ như thế này đây.,Khoa học vui
"Không phải graphene, borophene mới là vật liệu kỳ diệu của tương lai, con cưng mới của giới khoa học",https://quantrimang.com/khoa-hoc/khong-phai-graphene-borophene-moi-la-vat-lieu-ky-dieu-cua-tuong-lai-con-cung-moi-cua-gioi-khoa-hoc-163536,Nga Bùi,07/05,"Borophene, một lớp nguyên tử bo mỏng có thể được xếp thành nhiều cấu trúc tinh thể khác nhau, có thể ứng dụng vào nhiều ngành, sử dụng vào nhiều mục đích khác nhau.",Khoa học vui
"1 inch bằng bao nhiêu cm, m, mm, dm?",https://quantrimang.com/khoa-hoc/1-inch-bang-bao-nhieu-cm-163023,Minh Nguyen,25/12,"Việc biết được 1 inch bằng bao nhiêu cm, mm, m và các đơn vị đo chiều dài khác sẽ giúp chúng ta dễ dàng nắm bắt được thông tin hơn. Dưới đây là bảng quy đổi inch sang m, cm, km... cũng như cách để bạn chuyển đổi giữa các đơn vị đo lường này dễ dàng hơn.",Khoa học vui
Trắc nghiệm về kiến thức khoa học tổng hợp,https://quantrimang.com/khoa-hoc/trac-nghiem-ve-kien-thuc-khoa-hoc-tong-hop-159969,Nhật Linh,15/11,"Ở thử thách kiến thức khoa học kỳ này, hãy cùng thử tài giải mã cấu tạo của sao chổi, nhận diện đơn vị đo lường; sắp xếp thời gian ra đời của các phát minh… mục đích thực sự của chiếc khăn màu đỏ mà các đấu sĩ bò tót sử dụng hay thậm chí là cách thức ăn được tiêu hóa trong bụng chúng ta!",Khoa học vui
Trung Quốc đang xây dựng đường hầm gió siêu tốc nhanh nhất thế giới,https://quantrimang.com/khoa-hoc/trung-quoc-dang-xay-dung-duong-ham-gio-sieu-toc-nhanh-nhat-the-gioi-148258,Trương Huỳnh Dũng,11/04,"Trung Quốc đang xây dựng đường hầm siêu nhanh nhất thế giới để phát triển các phi thuyền, theo các phương tiện truyền thông nước này cho hay.",Khoa học vui
Trả lời được 10 câu đố này trong 7s chứng tỏ não bộ của bạn vô cùng đặc biệt đấy!,https://quantrimang.com/khoa-hoc/tra-loi-duoc-10-cau-do-nay-trong-7s-chung-to-nao-bo-cua-ban-vo-cung-dac-biet-day-147822,Nga Bùi,16/03,"Nếu bạn thuộc kiểu người tò mò và cho rằng mọi thứ trên đời đều có thể giải quyết được bằng tư duy logic, thì đây chính là những câu hỏi dành cho bạn. Hãy cùng Quản Trị Mạng trả lời 10 câu đố này trong 7s để xem não bộ của bạn có vô cùng đặc biệt hay không nhé!",Khoa học vui
Chọn một hình ảnh Mặt trời và bạn sẽ biết bí mật trong tính cách của mình là gì,https://quantrimang.com/khoa-hoc/chon-mot-hinh-anh-mat-troi-va-ban-se-biet-bi-mat-trong-tinh-cach-cua-minh-la-gi-147790,Ahihi,15/03,Ít ai ngờ được rằng những hình ảnh bình thường mà bạn yêu thích cũng có thể tiết lộ nhiều đặc điểm ẩn trong tính cách của bạn. Hãy cùng Quản Trị Mạng chọn một hình ảnh Mặt trời và bạn sẽ biết bí mật trong tính cách của mình là gì nhé!,Khoa học vui
"Để biết tuổi sinh học của bạn, hãy kiểm tra mẫu nước tiểu",https://quantrimang.com/khoa-hoc/de-biet-tuoi-sinh-hoc-cua-ban-hay-kiem-tra-mau-nuoc-tieu-147656,Trương Huỳnh Dũng,29/03,"Việc biết được tuổi sinh học của bạn cũng khá quan trọng, vì nó có thể được sử dụng để xác định nguy cơ mắc các bệnh liên quan đến tuổi tác hoặc thậm chí nguy cơ tử vong. Ngoài ra, điều quan trọng là phải biết tuổi sinh học của đối tượng thử nghiệm thì mới phát triển thuốc chống lão hóa được.",Khoa học vui
Carbon và gỗ kết hợp với nhau trong một chiếc xe đạp cong lượn kỳ quái,https://quantrimang.com/khoa-hoc/Carbon-va-go-ket-hop-voi-nhau-trong-mot-chiec-xe-dap-cong-luon-ky-quai-147650,Trương Huỳnh Dũng,30/03,Carbon và gỗ kết hợp với nhau trong một chiếc xe đạp cong lượn kỳ quái của Ryan Cargo.,Khoa học vui
"Bagger 293: Cỗ máy khổng lồ cao nhất trên mặt đất, nặng hơn 14.000 tấn",https://quantrimang.com/khoa-hoc/bagger-293-co-may-khong-lo-cao-nhat-the-gioi-nang-hon-14-000-tan-198553,Pham Trang,2 ngày,"Bagger 293 hay có tên gọi khác là MAN TAKRAF RB293, ra đời từ năm 1995, dù đã được 28 năm nhưng đến nay nó vẫn là một trong những phương tiện lớn nhất từng được con người chế tạo để khai thác than.",Khám phá khoa học
"Chiếc túi nhỏ hơn hạt muối có giá hơn... 1,5 tỷ đồng",https://quantrimang.com/khoa-hoc/chiec-tui-nho-hon-hat-muoi-co-gia-hon-1-5-ty-dong-198533,PP,3 ngày,"Công ty MSCHF đã chế tạo một chiếc túi siêu nhỏ có kích thước chỉ 657 x 222 x 700 micron (xấp xỉ 0,07 cm), nhỏ hơn hạt muối hay có thể chui lọt lỗ kim bằng phương pháp in 3D.",Khám phá khoa học
Bom nguyên tử hoạt động thế nào?,https://quantrimang.com/khoa-hoc/bom-nguyen-tu-hoat-dong-the-nao-198522,Pham Xuyen,4 ngày,"Bom nguyên tử (bom A), là loại vũ khí hủy diệt hàng loạt, với sức công phá lớn hơn bất kỳ vũ khí được quy ước nào.",Khám phá khoa học
"Lần đầu điên, bản đồ về ruột người được thiết lập",https://quantrimang.com/khoa-hoc/lan-dau-dien-ban-do-ve-ruot-nguoi-duoc-thiet-lap-198493,Pham Xuyen,5 ngày,Các nhà khoa học tại Trường Y khoa Stanford Medicine (Mỹ) đã sử dụng kỹ thuật hình ảnh tiên tiến mới nhất để lập được bản đồ về ruột người.,Khám phá khoa học
Siêu động cơ nặng 2.140 tấn của tàu chở hàng được chế tạo như thế nào,https://quantrimang.com/khoa-hoc/sieu-dong-co-nang-2-140-tan-cua-tau-cho-hang-duoc-che-tao-nhu-the-nao-198486,Nguyễn văn Linh,5 ngày,Để cung cấp lực cho một con tàu chở hàng khổng lồ có sức chứa tương đương 2.900 máy C919 các kỹ sư Trung Quốc đã chế tạo ra một trong những động cơ tàu thủy lớn nhất mà con người từng chế tạo.,Khám phá khoa học
"Vật thể nhân tạo nhanh nhất lịch sử, vận tốc đạt 532.000 km/h",https://quantrimang.com/khoa-hoc/vat-the-nhan-tao-nhanh-nhat-lich-su-198478,Pham Xuyen,6 ngày,"Parker Solar, tàu vũ trụ mang sứ mệnh nghiên cứu Mặt Trời, trở thành vật thể nhân tạo nhanh nhất lịch sử với vận tốc 532.000 km/h.",Khám phá khoa học
10 chiếc thẻ đen quyền lực nhất thế giới,https://quantrimang.com/khoa-hoc/10-chiec-the-den-quyen-luc-nhat-the-gioi-198468,Nguyễn Như Thùy,6 ngày,"Dưới đây là 10 thẻ đen quyền lực nhất thế giới với các điều kiện mở thẻ khác nhau, theo khảo sát của các ngân hàng số.",Khám phá khoa học
Tại sao bánh tàu hỏa gần giống hình nón chứ không phải hình tròn đều?,https://quantrimang.com/khoa-hoc/tai-sao-banh-tau-hoa-khong-phai-hinh-tron-deu-198433,Pham Xuyen,29/07,"Bánh tàu hỏa không phải hình trụ tròn đều hoàn hảo mà được thiết kế gần giống hình nón (phần có đường kính lớn hơn của bánh xe hình nón hướng vào trong, đường kính nhỏ hơn hướng ra ngoài đường ray) nhằm đảm bảo tàu không trật khỏi đường ray và dễ dàng chạy qua khúc cua.",Khám phá khoa học
Tại sao mây có nhiều màu sắc?,https://quantrimang.com/khoa-hoc/tai-sao-may-co-nhieu-mau-sac-198426,Pham Trang,6 ngày,"Đa phần mây trên trời có màu trắng pha một chút xám nhưng đôi khi lại xuất hiện những đám mây có nhiều màu sắc khác nhau như đen, hồng, tím, vàng, đỏ,…",Khám phá khoa học
Ấn nút xả bồn cầu toilet trên máy bay khi đang ngồi có nguy hiểm?,https://quantrimang.com/khoa-hoc/an-nut-xa-bon-cau-toilet-tren-may-bay-khi-dang-ngoi-co-nguy-hiem-198413,Pham Xuyen,28/07,"Gần đây, thông tin về vụ tai nạn khi sử dụng chiếc bồn cầu bên trong nhà vệ sinh trên máy bay được lan truyền trên mạng xã hội. Bài viết được đăng tải với tiêu đề: ""Đi cầu trên máy bay có thể chết người"", nhận được nhiều sự quan tâm.",Khám phá khoa học
Thái Lan trình làng 'Mặt Trời nhân tạo' đầu tiên,https://quantrimang.com/khoa-hoc/thai-lan-trinh-lang-mat-troi-nhan-tao-dau-tien-198406,Pham Trang,27/07,"Lò phản ứng nhiệt hạch Tokamak-1 của Thái Lan hợp tác với Trung Quốc phát triển bắt đầu vận hành hôm 25/7, đánh dấu cột mốc quan trọng trong nghiên cứu năng lượng bền vững và quan hệ hợp tác khoa học giữa hai nước.",Khám phá khoa học
Siêu đập 5 tỷ USD chắn ngang sông dài nhất thế giới,https://quantrimang.com/khoa-hoc/sieu-dap-5-ty-usd-chan-ngang-song-dai-nhat-the-gioi-198402,Nguyễn Tiến Linh,27/07,"Đập Grand Ethiopian Renaissance (GERD - Đại Phục Hưng Ethiopia) đang được Ethiopia xây dựng trên thượng nguồn sông Nile (đúng ra là trên phụ lưu sông Nile-Xanh) tại tỉnh Guba, Ethiopia (đông bắc châu Phi), là một công trình kỳ vĩ.",Khám phá khoa học
